 TITLE = "GAUGE_position"
 VARIABLES =  "N", "X", "Y", "D_TOL", "D_ACTUAL" 
 ZONE T= "Model_position" I =          160
        11  -0.5000   0.0000   0.0060   0.0060
        12  -0.4500   0.0000   0.0045   0.0045
        13  -0.4000   0.0000   0.0006   0.0006
        14  -0.3500   0.0000   0.0072   0.0072
        15  -0.3000   0.0000   0.0057   0.0057
        16  -0.2500   0.0000   0.0085   0.0085
        17  -0.2000   0.0000   0.0055   0.0055
        18  -0.1500   0.0000   0.0011   0.0011
        19  -0.1000   0.0000   0.0006   0.0006
        20  -0.0500   0.0000   0.0030   0.0030
        21   0.0000   0.0000   0.0043   0.0043
        22   0.0100   0.0000   0.0018   0.0018
        23   0.0200   0.0000   0.0019   0.0019
        24   0.0300   0.0000   0.0018   0.0018
        25   0.0400   0.0000   0.0024   0.0024
        26   0.0500   0.0000   0.0030   0.0030
        27   0.0600   0.0000   0.0033   0.0033
        28   0.0700   0.0000   0.0031   0.0031
        29   0.0800   0.0000   0.0014   0.0014
        30   0.0900   0.0000   0.0014   0.0014
        31   0.1000   0.0000   0.0006   0.0006
        32   0.1100   0.0000   0.0046   0.0046
        33   0.1200   0.0000   0.0006   0.0006
        34   0.1300   0.0000   0.0015   0.0015
        35   0.1400   0.0000   0.0028   0.0028
        36   0.1500   0.0000   0.0011   0.0011
        37   0.1600   0.0000   0.0050   0.0050
        38   0.1700   0.0000   0.0024   0.0024
        39   0.1800   0.0000   0.0059   0.0059
        40   0.1900   0.0000   0.0024   0.0024
        41   0.2000   0.0000   0.0055   0.0055
        42   0.2100   0.0000   0.0011   0.0011
        43   0.2200   0.0000   0.0036   0.0036
        44   0.2300   0.0000   0.0028   0.0028
        45   0.2400   0.0000   0.0015   0.0015
        46   0.2500   0.0000   0.0085   0.0085
        47   0.2600   0.0000   0.0015   0.0015
        48   0.2700   0.0000   0.0032   0.0032
        49   0.2800   0.0000   0.0009   0.0009
        50   0.2900   0.0000   0.0090   0.0090
        51   0.3000   0.0000   0.0053   0.0053
        52   0.3100   0.0000   0.0037   0.0037
        53   0.3200   0.0000   0.0020   0.0020
        54   0.3300   0.0000   0.0006   0.0006
        55   0.3400   0.0000   0.0064   0.0064
        56   0.3500   0.0000   0.0074   0.0074
        57   0.3600   0.0000   0.0054   0.0054
        58   0.3700   0.0000   0.0100   0.0100
        59   0.3800   0.0000   0.0064   0.0064
        60   0.3900   0.0000   0.0094   0.0094
        61   0.4000   0.0000   0.0006   0.0006
        62   0.4100   0.0000   0.0006   0.0006
        63   0.4200   0.0000   0.0087   0.0087
        64   0.4300   0.0000   0.0017   0.0017
        65   0.4400   0.0000   0.0027   0.0027
        66   0.4500   0.0000   0.0044   0.0044
        67   0.4600   0.0000   0.0074   0.0074
        68   0.4700   0.0000   0.0065   0.0065
        69   0.4800   0.0000   0.0068   0.0068
        70   0.4900   0.0000   0.0122   0.0122
        71   0.5000   0.0000   0.0046   0.0046
        72   0.5100   0.0000   0.0058   0.0058
        73   0.5200   0.0000   0.0046   0.0046
        74   0.5300   0.0000   0.0031   0.0031
        75   0.5400   0.0000   0.0036   0.0036
        76   0.5500   0.0000   0.0027   0.0027
        77   0.5600   0.0000   0.0063   0.0063
        78   0.5700   0.0000   0.0058   0.0058
        79   0.5800   0.0000   0.0066   0.0066
        80   0.5900   0.0000   0.0022   0.0022
        81   0.6000   0.0000   0.0105   0.0105
        82   0.6100   0.0000   0.0119   0.0119
        83   0.6200   0.0000   0.0027   0.0027
        84   0.6300   0.0000   0.0058   0.0058
        85   0.6400   0.0000   0.0042   0.0042
        86   0.6500   0.0000   0.0094   0.0094
        87   0.6600   0.0000   0.0054   0.0054
        88   0.6700   0.0000   0.0128   0.0128
        89   0.6800   0.0000   0.0110   0.0110
        90   0.6900   0.0000   0.0010   0.0010
